EmployeeID,EmployeeName,Age,Gender,MaritalStatus,Education,EducationField,DepartmentID,JobRole,JobLevel,BusinessTravel,MonthlyIncome,PercentSalaryHike,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,NumCompaniesWorked,DistanceFromHome,Attrition,PerformanceRating,PerformanceLabel
11,Rahul Nair,45,Male,Married,2,Medical,2,Laboratory Technician,2,Travel_Rarely,79910,13,2.0,21.0,2.0,18,10,4.0,10.0,0.0,17,No,3,Medium
12,Aryan Miller,36,Male,Married,1,Life Sciences,2,Laboratory Technician,1,Travel_Rarely,33770,12,2.0,16.0,2.0,15,9,7.5,11.0,0.0,28,No,3,Medium
13,Vivek Agarwal,55,Female,Single,4,Life Sciences,2,Sales Executive,1,Travel_Rarely,55380,17,0.0,28.5,2.0,18,10,4.0,13.0,0.0,14,No,3,Medium
14,Neha Brown,47,Male,Married,1,Medical,2,Research Scientist,1,Non-Travel,57620,11,2.0,10.0,4.0,10,6,7.5,9.0,1.0,1,Yes,3,Low
15,Riya Rao,28,Male,Married,3,Life Sciences,2,Manufacturing Director,1,Travel_Rarely,25920,14,0.0,5.0,2.0,5,3,0.0,4.0,1.0,1,No,3,Medium
16,Pooja Mehta,37,Male,Married,3,Life Sciences,2,Healthcare Representative,2,Travel_Rarely,53460,11,0.0,7.0,2.0,5,3,0.0,1.0,4.0,1,No,3,Medium
17,Amit Shah,21,Male,Single,2,Life Sciences,2,Laboratory Technician,1,Travel_Rarely,42130,12,2.5,3.0,3.0,3,1,1.0,0.0,1.0,3,No,3,Medium
18,Sarah Verma,37,Male,Divorced,3,Medical,2,Sales Executive,2,Non-Travel,41270,13,1.0,15.0,2.0,5,3,0.0,2.0,2.0,1,No,3,Medium
19,Emily Brown,35,Male,Divorced,4,Life Sciences,1,Sales Representative,1,Travel_Rarely,24380,16,0.0,10.0,4.5,7,4,6.0,2.0,7.0,7,No,3,Low
20,Gaurav Trivedi,38,Female,Divorced,3,Life Sciences,2,Manager,1,Travel_Rarely,68700,11,1.0,8.0,4.5,8,4,7.0,7.0,1.0,8,No,3,Low
21,Aryan Johnson,26,Male,Divorced,4,Other,2,Laboratory Technician,2,Travel_Frequently,104470,18,0.0,6.0,3.0,6,3,1.0,4.0,1.0,1,No,3,Low
22,Tanvi Malhotra,50,Male,Divorced,4,Life Sciences,1,Research Scientist,1,Travel_Rarely,96670,23,0.0,28.0,2.0,10,6,1.0,6.0,3.0,8,No,4,High
23,Akash Wilson,53,Female,Married,4,Life Sciences,2,Research Scientist,2,Travel_Rarely,21480,11,0.0,21.0,2.0,5,3,1.0,3.0,3.0,11,No,3,Medium
24,Pooja Garcia,42,Male,Married,4,Life Sciences,2,Manufacturing Director,1,Travel_Rarely,89260,14,0.0,10.0,4.0,18,10,7.5,6.0,1.0,4,No,3,Low
25,Suresh Williams,29,Male,Single,4,Medical,2,Laboratory Technician,1,Travel_Frequently,65130,11,1.0,10.0,2.0,10,6,0.0,9.0,1.0,16,No,3,Medium
26,Vikram Patel,55,Female,Married,4,Other,2,Research Scientist,1,Travel_Rarely,67990,11,0.0,12.0,2.0,10,6,0.0,8.0,3.0,1,No,3,Medium
27,Kunal Rao,26,Female,Married,3,Life Sciences,2,Manager,1,Travel_Frequently,162910,22,0.0,5.0,3.0,5,3,3.0,3.0,1.0,9,No,4,High
28,Rahul Verma,37,Male,Single,1,Marketing,1,Research Scientist,1,Travel_Rarely,27050,11,0.0,17.0,2.0,17,10,5.0,7.0,1.0,5,No,3,Medium
29,Riya Singh,44,Male,Divorced,2,Medical,2,Research Scientist,2,Travel_Frequently,103330,14,1.0,19.0,2.0,1,0,0.0,0.0,3.0,1,Yes,3,Medium
30,Varun Smith,38,Female,Divorced,3,Marketing,1,Manager,1,Travel_Rarely,44480,12,0.0,10.0,3.0,2,1,1.0,2.0,8.5,2,No,3,Medium
31,David Johnson,26,Male,Divorced,3,Medical,2,Research Scientist,3,Travel_Rarely,68540,11,0.0,5.0,4.5,3,1,0.0,2.0,2.0,4,Yes,3,Low
32,Kunal Wilson,28,Male,Single,3,Other,2,Human Resources,1,Travel_Rarely,96370,13,0.0,5.0,4.5,5,3,0.0,2.0,1.0,7,No,3,Medium
33,Neha Malhotra,49,Female,Single,1,Medical,2,Research Scientist,2,Travel_Frequently,35910,13,0.0,22.0,2.0,3,1,1.0,2.0,8.5,1,No,3,Medium
34,Sarah Nair,36,Male,Single,3,Technical Degree,1,Sales Executive,3,Travel_Rarely,54050,14,0.0,10.0,2.0,8,4,7.0,7.0,4.0,5,No,3,Medium
35,Amit Rao,31,Male,Divorced,4,Medical,2,Sales Executive,1,Travel_Frequently,46840,16,1.0,2.0,4.0,2,1,2.0,2.0,1.0,9,No,3,Medium
36,Zara Patel,26,Male,Single,3,Medical,2,Manager,2,Travel_Rarely,157870,12,2.0,8.0,4.5,8,4,7.0,4.0,1.0,8,Yes,3,Medium
37,Pooja Singh,37,Male,Married,1,Marketing,1,Laboratory Technician,1,Travel_Frequently,15140,14,0.0,4.0,3.0,4,2,1.0,2.0,1.0,9,No,3,Medium
38,Suresh Rao,42,Male,Married,2,Marketing,1,Research Director,3,Travel_Frequently,29560,13,0.0,23.0,2.0,18,10,4.0,8.0,5.0,2,No,3,Medium
39,Kavya Mehta,18,Male,Single,4,Life Sciences,2,Sales Executive,1,Travel_Rarely,23350,14,2.0,0.0,3.0,0,0,0.0,0.0,1.0,1,Yes,3,Medium
40,Rohit Agarwal,35,Male,Married,2,Life Sciences,1,Laboratory Technician,1,Travel_Rarely,51540,19,0.0,12.0,2.0,11,6,6.0,9.0,0.0,20,No,3,Low
41,Emma Pillai,36,Female,Married,3,Other,2,Sales Executive,3,Travel_Frequently,69620,12,2.0,4.0,2.0,1,0,0.0,0.0,4.0,8,No,3,Medium
42,Arjun Brown,51,Male,Divorced,3,Life Sciences,2,Laboratory Technician,2,Travel_Rarely,56750,13,0.0,13.0,2.0,4,2,1.0,2.0,5.0,2,No,3,Medium
43,Shivam Smith,41,Male,Single,1,Life Sciences,2,Laboratory Technician,1,Travel_Rarely,23790,12,0.0,22.0,4.5,18,10,0.0,4.0,1.0,29,No,3,Medium
44,Ananya Joshi,18,Male,Single,3,Life Sciences,1,Research Scientist,1,Travel_Rarely,38120,15,0.0,0.0,3.0,0,0,0.0,0.0,1.0,7,No,3,Medium
45,Vivek Brown,28,Male,Single,3,Medical,2,Sales Representative,1,Travel_Rarely,46480,23,2.0,9.0,2.0,8,4,0.0,7.0,0.0,9,No,4,High
46,Nikhil Brown,31,Male,Married,1,Technical Degree,2,Manufacturing Director,1,Travel_Rarely,29360,12,1.0,10.0,2.0,8,4,7.0,7.0,4.0,8,No,3,Medium
47,Emily Nair,39,Female,Divorced,4,Marketing,1,Human Resources,2,Travel_Rarely,21050,20,0.0,19.0,3.0,18,10,3.0,7.0,0.0,5,No,4,High
48,Sarah Joshi,36,Male,Married,4,Life Sciences,2,Sales Executive,1,Non-Travel,85780,21,0.0,11.0,4.0,9,5,0.0,8.0,7.0,5,No,4,High
49,Divya Smith,32,Male,Married,3,Marketing,1,Laboratory Technician,2,Travel_Rarely,27060,21,1.0,13.0,4.0,13,7,4.0,8.0,1.0,2,No,4,High
50,Shivam Singh,38,Female,Married,2,Life Sciences,2,Research Scientist,3,Travel_Rarely,63840,19,2.0,19.0,4.0,10,6,0.0,1.0,3.0,5,No,3,Low
51,James Patel,58,Male,Divorced,3,Life Sciences,2,Manufacturing Director,2,Non-Travel,39680,13,2.0,12.0,3.0,5,3,1.0,2.0,2.0,2,No,3,Medium
52,Zara Sharma,31,Female,Married,1,Technical Degree,2,Research Scientist,3,Travel_Rarely,99070,13,1.0,6.0,3.0,5,3,0.0,3.0,0.0,20,No,3,Medium
53,Zara Williams,31,Male,Married,4,Marketing,1,Sales Executive,2,Travel_Rarely,132250,21,1.0,9.0,2.0,2,1,1.0,0.0,3.0,7,No,4,High
54,Vivek Agarwal,45,Female,Divorced,1,Medical,2,Sales Executive,1,Travel_Frequently,35400,13,0.0,24.0,4.5,18,10,7.5,11.0,1.0,3,No,3,Low
55,Priya Smith,31,Female,Divorced,4,Marketing,1,Research Scientist,2,Travel_Rarely,28040,19,2.0,3.0,0.5,2,1,2.0,2.0,0.0,16,No,3,Medium
56,Gaurav Williams,33,Male,Married,3,Life Sciences,2,Research Director,4,Travel_Frequently,165835,12,1.0,12.0,3.0,10,6,7.5,8.0,6.0,9,No,3,Medium
57,Riya Rao,39,Male,Married,4,Life Sciences,1,Sales Executive,1,Travel_Rarely,165835,22,1.0,21.0,4.5,18,10,7.5,10.0,1.0,1,No,4,High
58,Rahul Thakur,43,Male,Single,4,Medical,2,Research Scientist,4,Travel_Frequently,24390,15,0.0,9.0,2.0,8,4,1.0,7.0,0.0,7,No,3,Medium
59,Aditya Singh,49,Male,Single,3,Life Sciences,2,Manufacturing Director,3,Travel_Rarely,73140,22,0.0,25.0,2.0,7,4,0.0,7.0,7.0,1,No,4,High
60,Divya Kumar,52,Female,Married,1,Life Sciences,2,Research Scientist,2,Travel_Rarely,47740,18,1.0,11.0,2.0,8,4,7.0,7.0,2.0,7,Yes,3,Medium
61,Nikhil Agarwal,27,Male,Single,4,Medical,2,Research Scientist,3,Travel_Rarely,39020,22,0.0,4.0,2.0,4,2,1.0,2.0,1.0,15,No,4,High
62,Sneha Rao,32,Male,Married,3,Life Sciences,2,Research Scientist,3,Travel_Rarely,26620,11,1.0,13.0,4.5,13,7,7.5,9.0,1.0,1,No,3,Medium
63,Emily Thakur,27,Female,Single,2,Medical,2,Research Director,4,Travel_Rarely,28560,12,2.0,5.0,4.5,5,3,0.0,4.0,1.0,13,No,3,Medium
64,Amit Williams,31,Male,Divorced,3,Life Sciences,1,Healthcare Representative,2,Travel_Rarely,10810,11,2.5,13.0,4.0,7,4,1.0,7.0,4.0,24,No,3,Medium
65,Rohit Trivedi,32,Male,Single,3,Technical Degree,2,Healthcare Representative,2,Travel_Rarely,24720,13,0.0,10.0,2.0,7,4,0.0,7.0,7.0,7,No,3,Medium
66,Rohit Shah,28,Male,Married,4,Medical,2,Sales Executive,1,Travel_Rarely,56730,14,1.0,5.0,4.0,3,1,2.0,2.0,5.0,9,Yes,3,Low
67,Amit Shah,30,Female,Married,3,Life Sciences,2,Research Director,4,Travel_Rarely,41970,13,0.0,11.0,3.0,10,6,1.0,9.0,1.0,13,No,3,Medium
68,Zara Joshi,31,Female,Married,1,Life Sciences,2,Manager,1,Travel_Frequently,97130,17,0.0,10.0,4.5,10,6,7.5,9.0,1.0,2,No,3,Medium
69,Sanjay Sharma,39,Female,Married,4,Medical,2,Research Scientist,1,Travel_Frequently,20620,13,0.0,21.0,4.0,18,10,7.5,3.0,1.0,19,No,3,Medium
70,Kavya Pillai,39,Female,Married,1,Medical,2,Laboratory Technician,1,Travel_Rarely,42840,17,1.0,12.0,0.5,1,0,0.0,0.0,4.0,1,Yes,3,Medium
71,Olivia Mehta,33,Male,Single,2,Life Sciences,1,Research Scientist,4,Travel_Frequently,47880,11,1.0,9.0,0.5,7,4,0.0,1.0,3.0,4,No,3,Medium
72,Gaurav Pillai,47,Female,Married,3,Life Sciences,2,Healthcare Representative,2,Travel_Rarely,59060,23,0.0,21.0,4.0,3,1,1.0,1.0,4.0,4,No,4,High
73,Olivia Jones,43,Female,Divorced,3,Medical,2,Research Director,5,Travel_Frequently,38860,17,2.0,9.0,2.0,9,5,0.0,0.0,1.0,14,No,3,Medium
74,Aditya Mehta,27,Male,Married,3,Life Sciences,2,Research Director,1,Non-Travel,165835,17,0.0,6.0,3.0,5,3,1.0,4.0,0.0,2,No,3,Medium
75,James Verma,54,Male,Single,4,Life Sciences,2,Research Scientist,2,Travel_Frequently,29330,12,2.0,20.0,2.0,4,2,0.0,3.0,3.0,1,No,3,Medium
76,Emily Joshi,43,Female,Married,2,Life Sciences,2,Manager,2,Travel_Rarely,65000,23,0.0,10.0,3.0,1,0,0.0,0.0,8.0,7,No,4,High
77,David Joshi,45,Female,Married,1,Marketing,1,Sales Executive,1,Travel_Rarely,165835,14,1.0,12.0,4.5,10,6,7.5,8.0,8.5,3,No,3,Medium
78,Nikhil Agarwal,40,Male,Married,4,Other,2,Research Scientist,4,Travel_Rarely,50330,14,2.0,6.0,4.5,4,2,0.0,2.0,2.0,2,No,3,Medium
79,Anjali Shah,29,Female,Married,3,Medical,2,Research Scientist,1,Travel_Rarely,23070,13,1.0,7.0,0.5,7,4,0.0,7.0,1.0,29,Yes,3,Low
80,Rahul Williams,29,Male,Single,3,Medical,3,Sales Representative,3,Travel_Rarely,25870,22,2.0,4.0,3.0,3,1,2.0,2.0,0.0,8,No,4,High
81,Olivia Agarwal,30,Male,Divorced,3,Life Sciences,2,Research Scientist,2,Travel_Rarely,55070,12,2.0,10.0,2.0,10,6,1.0,2.0,1.0,10,No,3,Medium
82,Neha Pillai,27,Male,Married,2,Medical,2,Manager,1,Travel_Rarely,43930,18,1.0,8.0,2.0,8,4,0.0,7.0,1.0,11,No,3,Low
83,Neha Brown,37,Male,Divorced,4,Life Sciences,1,Healthcare Representative,2,Travel_Rarely,133480,14,0.0,8.0,4.0,6,3,0.0,4.0,7.0,1,No,3,Medium
84,Karan Patel,38,Male,Divorced,4,Medical,2,Laboratory Technician,1,Travel_Rarely,65830,12,0.0,12.0,1.0,11,6,2.0,9.0,0.0,28,No,3,Medium
85,Kavya Sharma,31,Female,Single,3,Medical,2,Manager,3,Travel_Rarely,81030,15,1.0,11.0,4.5,11,6,4.0,10.0,1.0,6,No,3,Medium
86,Ananya Kumar,29,Male,Divorced,4,Life Sciences,2,Sales Executive,3,Travel_Rarely,39780,11,0.0,7.0,0.5,7,4,1.0,7.0,1.0,3,No,3,Medium
87,Vivek Johnson,35,Male,Single,2,Technical Degree,1,Manager,3,Travel_Rarely,25440,13,1.0,17.0,3.0,16,9,0.0,13.0,0.0,16,No,3,Medium
88,Suresh Rao,23,Male,Divorced,4,Life Sciences,2,Manufacturing Director,1,Travel_Rarely,53990,23,0.0,4.0,2.0,4,2,0.0,2.0,1.0,20,No,4,High
89,Tanvi Patel,41,Female,Single,2,Life Sciences,2,Laboratory Technician,1,Travel_Rarely,54870,19,2.0,8.0,0.5,5,3,1.0,2.0,6.0,9,No,3,Medium
90,Sarah Reddy,47,Female,Single,3,Medical,1,Laboratory Technician,2,Travel_Frequently,68340,16,1.0,5.0,2.0,0,0,0.0,0.0,3.0,1,No,3,Medium
91,Emma Singh,42,Male,Single,4,Life Sciences,2,Manager,1,Travel_Rarely,10910,22,0.0,16.0,0.5,1,0,0.0,0.0,2.0,3,No,4,High
92,Rahul Smith,29,Male,Married,4,Marketing,1,Human Resources,2,Non-Travel,57360,22,0.0,4.0,1.0,4,2,0.0,2.0,1.0,22,No,4,High
93,Rahul Rao,42,Male,Divorced,4,Medical,1,Research Scientist,3,Travel_Rarely,22260,12,1.0,4.0,3.0,3,1,1.0,0.0,0.0,7,No,3,Medium
94,Aryan Nair,32,Male,Married,3,Medical,2,Research Scientist,2,Travel_Rarely,57470,13,0.0,8.0,0.5,8,4,0.0,7.0,1.0,2,No,3,Medium
95,Divya Joshi,48,Male,Married,4,Medical,1,Sales Executive,4,Travel_Rarely,98540,16,1.0,15.0,2.0,0,0,0.0,0.0,3.0,13,No,3,Low
96,Suresh Trivedi,37,Male,Divorced,5,Technical Degree,2,Manufacturing Director,2,Travel_Rarely,54670,12,0.0,13.0,2.0,7,4,6.0,7.0,4.0,8,No,3,Medium
97,Sara Nair,30,Male,Married,4,Other,1,Healthcare Representative,1,Non-Travel,53800,21,1.0,4.0,0.5,2,1,2.0,2.0,7.0,25,No,4,High
98,John Kumar,26,Female,Married,3,Medical,1,Laboratory Technician,5,Travel_Rarely,51510,15,2.5,8.0,3.0,8,4,7.0,7.0,1.0,28,No,3,Medium
99,Kavya Kumar,42,Female,Single,2,Medical,1,Laboratory Technician,1,Travel_Rarely,21330,13,2.0,14.0,2.0,1,0,0.0,0.0,3.0,2,No,3,Medium
100,Kavya Wilson,21,Female,Single,3,Medical,2,Manufacturing Director,4,Travel_Frequently,165835,12,0.0,3.0,4.5,3,1,1.0,2.0,1.0,9,Yes,3,Low
101,Kunal Garcia,36,Male,Single,3,Human Resources,3,Laboratory Technician,2,Non-Travel,24320,22,0.0,7.0,4.0,1,0,0.0,0.0,4.0,28,No,4,High
102,Rahul Smith,36,Female,Married,3,Life Sciences,2,Research Scientist,2,Travel_Frequently,47710,13,1.0,16.0,2.0,13,7,1.0,12.0,4.0,6,No,3,Medium
103,Pooja Gupta,57,Male,Married,4,Life Sciences,2,Research Scientist,5,Travel_Rarely,165835,18,0.0,15.0,2.0,3,1,1.0,2.0,2.0,21,No,3,Medium
104,Vikram Wilson,40,Male,Married,3,Other,2,Sales Executive,2,Travel_Rarely,50870,14,1.0,10.0,3.0,7,4,1.0,7.0,3.0,8,No,3,Medium
105,Gaurav Williams,21,Female,Single,5,Life Sciences,2,Manager,2,Non-Travel,28630,14,0.0,3.0,2.0,3,1,2.0,2.0,1.0,1,No,3,Low
106,Gaurav Smith,33,Female,Single,2,Human Resources,3,Manager,5,Travel_Rarely,55610,21,1.0,1.0,3.0,1,0,0.0,0.0,1.0,28,Yes,4,High
107,Vivek Rao,37,Male,Married,3,Life Sciences,2,Research Scientist,4,Travel_Rarely,21440,19,0.0,17.0,3.0,5,3,0.0,3.0,6.0,5,No,3,Medium
108,Varun Gupta,46,Female,Married,4,Marketing,1,Laboratory Technician,2,Non-Travel,30650,11,0.0,7.0,3.0,1,0,0.0,0.0,2.0,2,No,3,Medium
109,Amit Kumar,41,Female,Single,1,Medical,2,Research Scientist,1,Travel_Frequently,28100,11,0.0,8.0,3.0,8,4,7.0,7.0,1.0,16,Yes,3,Medium
110,Pooja Garcia,50,Female,Single,3,Medical,2,Laboratory Technician,3,Travel_Rarely,98880,15,0.0,20.0,2.0,4,2,1.0,3.0,6.0,9,No,3,Medium
111,Anjali Rao,40,Female,Married,3,Medical,2,Healthcare Representative,1,Travel_Rarely,86280,20,0.0,8.0,2.0,6,3,1.0,0.0,2.0,8,Yes,4,High
112,Tanvi Mehta,31,Male,Single,3,Life Sciences,2,Human Resources,4,Travel_Rarely,28670,24,0.0,3.0,4.5,2,1,2.0,2.0,0.0,1,No,4,High
113,Varun Joshi,21,Male,Single,2,Human Resources,3,Laboratory Technician,1,Travel_Rarely,53730,12,1.0,1.0,2.0,1,0,0.0,0.0,1.0,10,Yes,3,Medium
114,Zara Thakur,29,Female,Single,3,Life Sciences,2,Research Director,2,Travel_Rarely,66670,12,1.0,6.0,4.5,3,1,1.0,2.0,8.5,1,No,3,Medium
115,Riya Patel,35,Female,Single,3,Life Sciences,2,Sales Executive,3,Travel_Rarely,50030,15,0.0,10.0,2.0,1,0,0.0,0.0,8.5,29,No,3,Medium
116,Pooja Jones,27,Male,Divorced,3,Life Sciences,1,Sales Executive,1,Travel_Rarely,23670,12,1.0,5.0,2.0,5,3,0.0,4.0,2.0,2,No,3,Medium
117,Aarav Johnson,28,Male,Single,2,Medical,2,Manager,3,Travel_Rarely,28580,12,0.0,7.0,2.0,7,4,0.0,7.0,1.0,2,No,3,Medium
118,Rahul Smith,49,Male,Single,3,Technical Degree,1,Manufacturing Director,2,Travel_Rarely,52040,14,1.0,26.0,3.0,5,3,0.0,0.0,8.0,2,No,3,Medium
119,Sneha Pillai,51,Male,Married,2,Life Sciences,2,Sales Executive,1,Travel_Rarely,41050,22,1.0,18.0,2.0,7,4,0.0,7.0,4.0,1,No,4,High
120,Karan Trivedi,36,Male,Married,2,Life Sciences,1,Sales Executive,1,Travel_Rarely,96790,12,0.0,6.0,1.0,2,1,2.0,2.0,4.0,15,No,3,Medium
121,Arjun Thakur,34,Male,Single,3,Life Sciences,2,Sales Representative,1,Non-Travel,56170,25,1.0,9.0,3.0,5,3,0.0,4.0,8.0,7,Yes,4,High
122,Ananya Agarwal,55,Male,Single,3,Marketing,1,Laboratory Technician,1,Travel_Rarely,104480,13,0.0,28.5,3.0,5,3,1.0,2.0,2.0,26,No,3,Medium
123,Shivam Kumar,24,Female,Divorced,3,Life Sciences,2,Manager,5,Travel_Rarely,28970,18,2.5,5.0,4.0,5,3,0.0,3.0,1.0,1,No,3,Medium
124,Vikram Pillai,30,Female,Married,3,Life Sciences,2,Manager,2,Travel_Rarely,59680,13,0.0,1.0,3.0,1,0,0.0,0.0,1.0,3,No,3,Medium
125,Vivek Verma,26,Male,Single,3,Life Sciences,1,Manager,2,Travel_Frequently,75100,18,2.5,7.0,3.0,6,3,0.0,4.0,0.0,14,Yes,3,Medium
126,Aryan Reddy,22,Male,Married,5,Other,2,Research Scientist,1,Travel_Rarely,29910,19,2.0,2.0,3.0,2,1,1.0,2.0,1.0,16,No,3,Low
127,Deepika Malhotra,36,Female,Married,3,Medical,2,Healthcare Representative,5,Travel_Rarely,165835,12,1.0,10.0,3.0,10,6,7.5,0.0,1.0,1,No,3,Medium
128,Sneha Singh,30,Male,Single,2,Marketing,1,Research Scientist,3,Travel_Frequently,11290,19,0.0,3.0,2.0,1,0,0.0,0.0,8.5,3,Yes,3,Medium
129,Suresh Kumar,37,Male,Divorced,1,Technical Degree,2,Sales Executive,1,Travel_Rarely,133410,14,1.0,18.0,3.0,18,10,7.5,14.5,1.0,10,No,3,Medium
130,Aryan Thakur,40,Male,Divorced,2,Medical,2,Research Scientist,3,Travel_Rarely,43320,14,2.0,8.0,3.0,5,3,1.0,3.0,7.0,6,No,3,Medium
131,Zara Patel,42,Female,Divorced,3,Medical,2,Manager,4,Travel_Rarely,110310,12,1.0,8.0,2.0,5,3,1.0,2.0,3.0,2,No,3,Low
132,Ishaan Miller,37,Male,Single,1,Marketing,1,Sales Executive,3,Travel_Rarely,44400,11,1.0,18.0,3.0,1,0,0.0,1.0,2.0,9,No,3,Low
133,Olivia Thakur,43,Female,Divorced,2,Life Sciences,1,Sales Executive,1,Travel_Rarely,46170,11,0.0,25.0,2.0,18,10,3.0,9.0,1.0,10,No,3,Low
134,Pooja Malhotra,40,Female,Married,2,Life Sciences,1,Laboratory Technician,1,Travel_Rarely,26470,13,0.0,20.0,2.0,1,0,0.0,0.0,6.0,6,No,3,Medium
135,Sara Thakur,54,Female,Married,3,Life Sciences,3,Manufacturing Director,2,Travel_Rarely,63230,23,1.0,24.0,2.0,4,2,1.0,2.0,4.0,9,No,4,High
136,Ishaan Sharma,34,Male,Married,3,Medical,2,Laboratory Technician,1,Non-Travel,56770,20,1.0,6.0,3.0,3,1,1.0,2.0,8.5,28,No,4,High
137,Arjun Miller,31,Male,Married,4,Life Sciences,2,Sales Executive,3,Travel_Rarely,21870,15,1.0,13.0,2.0,13,7,3.0,12.0,1.0,10,No,3,Low
138,Neha Reddy,43,Female,Married,3,Life Sciences,1,Manufacturing Director,1,Travel_Frequently,37480,14,2.0,10.0,3.0,3,1,1.0,2.0,7.0,14,No,3,Medium
139,Priya Williams,43,Male,Divorced,4,Life Sciences,1,Sales Representative,2,Travel_Rarely,39770,18,1.0,8.0,3.0,5,3,0.0,2.0,4.0,27,No,3,Medium
140,Akash Kumar,25,Male,Single,2,Human Resources,3,Manufacturing Director,1,Travel_Rarely,86330,19,1.0,5.0,2.0,5,3,1.0,3.0,1.0,7,No,3,Medium
141,Gaurav Reddy,37,Male,Married,3,Medical,2,Laboratory Technician,3,Non-Travel,20080,22,0.0,15.0,4.5,13,7,7.5,7.0,3.0,1,No,4,High
142,Sneha Reddy,31,Male,Married,1,Medical,2,Laboratory Technician,3,Travel_Rarely,44400,13,1.0,4.0,2.0,4,2,3.0,2.0,1.0,24,No,3,Medium
143,Nikhil Miller,39,Female,Divorced,4,Technical Degree,2,Sales Executive,1,Travel_Frequently,30670,20,1.0,21.0,4.5,18,10,1.0,6.0,1.0,26,No,4,High
144,Arjun Thakur,56,Female,Married,4,Life Sciences,2,Sales Executive,3,Travel_Frequently,53210,14,0.0,28.5,1.0,7,4,7.0,7.0,8.5,20,No,3,Low
145,Riya Rao,30,Female,Single,4,Medical,1,Manufacturing Director,2,Travel_Rarely,54100,17,1.0,6.0,2.0,5,3,4.0,4.0,0.0,5,No,3,Medium
146,Zara Gupta,41,Female,Married,3,Technical Degree,2,Research Scientist,3,Travel_Rarely,27820,14,0.0,10.0,2.0,10,6,0.0,7.0,1.0,7,No,3,Low
147,John Malhotra,28,Male,Divorced,3,Medical,2,Healthcare Representative,3,Travel_Rarely,119570,13,0.0,10.0,2.0,10,6,1.0,8.0,1.0,7,No,3,Low
148,Riya Shah,25,Female,Married,2,Life Sciences,2,Laboratory Technician,3,Travel_Rarely,26600,13,0.0,6.0,3.0,2,1,0.0,2.0,5.0,5,Yes,3,Low
149,Emily Pillai,52,Female,Married,2,Life Sciences,2,Sales Representative,2,Travel_Rarely,33750,21,0.0,28.0,2.0,5,3,0.0,4.0,2.0,26,No,4,High
150,Ishaan Sharma,45,Female,Married,3,Medical,2,Sales Executive,1,Travel_Rarely,50980,14,1.0,8.0,4.0,2,1,0.0,2.0,3.0,2,No,3,Medium
151,Kunal Brown,52,Male,Married,3,Medical,2,Research Scientist,2,Travel_Rarely,48780,11,1.0,28.5,3.0,5,3,1.0,4.0,2.0,12,No,3,Medium
152,Aarav Garcia,42,Female,Divorced,3,Marketing,1,Healthcare Representative,2,Travel_Frequently,28370,13,1.0,19.0,0.5,5,3,0.0,2.0,2.0,10,No,3,Low
